Date,Description,Debit,Credit
01/05/2026,Payment received from Client A invoice INV-101,,150000
03/05/2026,Vendor payment raw material purchase,42000,
05/05/2026,Office rent for May,25000,
07/05/2026,UPI CR payment received Client B,,85000
10/05/2026,GST payment April,18000,
12/05/2026,Salary payroll May,70000,
15/05/2026,Loan EMI repayment,30000,
18/05/2026,Payment received from Client C invoice INV-102,,120000
20/05/2026,Supplier purchase packaging material,22000,
22/05/2026,Maintenance and utilities,9000,
